epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.4675,1.01281,2.97211,1.31143,0.00547,0.9902,0.33024,0.21103,1.02939,3.14972,1.30133,0.0001667,0.0001667,0.0001667
2,94.516,1.08453,1.75484,1.27983,0.90221,0.32591,0.42727,0.30393,1.03834,2.6044,1.22244,0.000343139,0.000343139,0.000343139
3,131.503,1.03854,1.60129,1.27508,0.86565,0.36361,0.39742,0.27251,1.11406,2.27511,1.36784,0.000512316,0.000512316,0.000512316
4,167.841,1.06186,1.44029,1.23599,0.88704,0.39474,0.48184,0.31288,1.16791,2.1605,1.35391,0.000674231,0.000674231,0.000674231
5,204.679,1.09422,1.42649,1.27761,0.84106,0.50014,0.70632,0.46758,1.05723,2.1077,1.25107,0.000828886,0.000828886,0.000828886
6,241.483,1.07085,1.27324,1.25514,0.82929,0.41858,0.75354,0.42626,1.2313,2.43747,1.43629,0.000976279,0.000976279,0.000976279
7,279.156,1.07557,1.26974,1.25025,0.78605,0.31652,0.61334,0.36624,1.18287,2.61586,1.45392,0.00111641,0.00111641,0.00111641
8,316.887,1.08363,1.36341,1.25877,0.54313,0.58955,0.6495,0.42927,1.0858,1.84726,1.27547,0.00124928,0.00124928,0.00124928
9,353.447,1.08896,1.22782,1.26352,0.58109,0.71454,0.68193,0.40262,1.31441,1.86956,1.43472,0.00137489,0.00137489,0.00137489
10,389.995,1.11898,1.27722,1.25157,0.72878,0.8098,0.84046,0.54101,1.10614,1.56968,1.29349,0.00136994,0.00136994,0.00136994
11,426.044,1.07487,1.23925,1.24738,0.85644,0.88759,0.91124,0.58817,1.16261,1.41262,1.30309,0.00133693,0.00133693,0.00133693
12,462.753,1.04715,1.15143,1.19987,0.90083,0.83174,0.91573,0.60539,1.10705,1.38057,1.24102,0.00130393,0.00130393,0.00130393
13,498.978,1.03804,1.10332,1.17909,0.85479,0.69314,0.83326,0.53014,1.16593,1.73723,1.30351,0.00127092,0.00127092,0.00127092
14,533.926,1.02371,1.05968,1.19829,0.74763,0.81055,0.85795,0.57933,1.02805,1.54277,1.19953,0.00123791,0.00123791,0.00123791
15,569.726,0.99428,1.03752,1.17751,0.83982,0.91048,0.9376,0.66614,0.98507,1.23572,1.16895,0.00120491,0.00120491,0.00120491
16,604.748,0.99662,0.99552,1.16441,0.83045,0.90113,0.91956,0.65188,0.99414,1.27694,1.16326,0.0011719,0.0011719,0.0011719
17,645.19,0.9703,0.9343,1.15263,0.74995,0.93779,0.89402,0.61764,1.08792,1.60343,1.23045,0.00113889,0.00113889,0.00113889
18,691.316,0.96433,0.9414,1.13733,0.80798,0.93813,0.91383,0.6257,1.02613,1.26087,1.18603,0.00110589,0.00110589,0.00110589
19,735.424,0.95551,0.88968,1.13086,0.87515,0.94628,0.97416,0.73128,0.91986,0.96475,1.09961,0.00107288,0.00107288,0.00107288
20,780.551,0.96389,0.92001,1.12672,0.85484,0.91081,0.96133,0.72453,0.87415,1.05212,1.05787,0.00103987,0.00103987,0.00103987
21,825.209,0.9343,0.88027,1.11814,0.88122,0.92487,0.97067,0.72089,0.90027,0.98658,1.07377,0.00100687,0.00100687,0.00100687
22,867.394,0.92437,0.91049,1.1275,0.89922,0.88266,0.95667,0.71681,0.88989,1.16065,1.07017,0.000973861,0.000973861,0.000973861
23,909.962,0.90502,0.85086,1.09988,0.80532,0.99335,0.96272,0.72686,0.89712,1.23745,1.09138,0.000940855,0.000940855,0.000940855
24,952.091,0.87233,0.86098,1.12706,0.93062,0.95829,0.96847,0.71864,0.88424,1.04434,1.10098,0.000907848,0.000907848,0.000907848
