epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.8558,0.91439,2.88207,1.2563,0.00694,0.99595,0.42854,0.32885,0.84958,3.0347,1.13495,0.00013336,0.00013336,0.00013336
2,80.1135,0.99501,1.92642,1.22505,0.86828,0.41316,0.4717,0.35058,0.90507,2.20883,1.17553,0.000277779,0.000277779,0.000277779
3,118.553,0.92253,1.43101,1.18381,0.8927,0.38866,0.57047,0.43327,0.91864,2.28395,1.14643,0.000416257,0.000416257,0.000416257
4,156.305,0.91754,1.34911,1.17093,0.77271,0.57438,0.58438,0.38632,1.10867,1.92667,1.31672,0.000548793,0.000548793,0.000548793
5,194.654,0.93382,1.23879,1.16532,0.58162,0.71449,0.76247,0.56886,0.95811,1.85258,1.18297,0.000675388,0.000675388,0.000675388
6,232.013,0.97368,1.24879,1.18314,0.79116,0.62688,0.77746,0.59633,0.92629,1.54078,1.19687,0.000796043,0.000796043,0.000796043
7,269.798,0.95505,1.17659,1.17178,0.87439,0.58652,0.62951,0.46421,0.99705,1.59939,1.26422,0.000910755,0.000910755,0.000910755
8,317.239,0.97962,1.09172,1.17122,0.73416,0.83264,0.88846,0.64347,0.96322,1.71527,1.26315,0.00101953,0.00101953,0.00101953
9,359.319,0.95505,1.12394,1.15501,0.81534,0.89898,0.92478,0.70047,0.96262,1.34039,1.19643,0.00112236,0.00112236,0.00112236
10,397.508,0.96205,1.04026,1.15872,0.74413,0.62871,0.71135,0.5074,0.92241,1.33417,1.17562,0.00121925,0.00121925,0.00121925
11,435.467,0.96235,1.09652,1.16169,0.73472,0.80806,0.83429,0.63023,0.97913,1.40925,1.21231,0.0013102,0.0013102,0.0013102
12,478.676,0.9944,1.09142,1.20277,0.89369,0.88465,0.94213,0.70067,1.01506,1.46899,1.21937,0.00130393,0.00130393,0.00130393
13,529.057,0.94681,0.99016,1.12781,0.87696,0.88871,0.93371,0.73083,0.99196,1.28053,1.23021,0.00127092,0.00127092,0.00127092
14,573.352,0.95466,1.00077,1.16082,0.92597,0.83957,0.96927,0.76154,0.95806,1.20388,1.15357,0.00123791,0.00123791,0.00123791
15,616.854,0.94334,1.012,1.13017,0.90425,0.78876,0.94863,0.73623,0.94992,1.36873,1.16155,0.00120491,0.00120491,0.00120491
16,659.111,0.87208,0.92144,1.10164,0.89861,0.96697,0.97396,0.77348,0.90213,1.08072,1.12276,0.0011719,0.0011719,0.0011719
17,703.858,0.89226,0.97035,1.12296,0.92076,0.94332,0.96274,0.79307,0.86457,1.10875,1.0968,0.00113889,0.00113889,0.00113889
18,752.236,0.87896,0.93555,1.15969,0.80249,0.8293,0.86631,0.67884,0.94653,1.53401,1.17872,0.00110589,0.00110589,0.00110589
19,802.513,0.89043,0.9024,1.13476,0.9128,0.90037,0.96375,0.77625,0.88183,1.01146,1.11226,0.00107288,0.00107288,0.00107288
20,849.28,0.87807,0.87453,1.09913,0.92626,0.9236,0.95144,0.7937,0.83571,1.07402,1.08432,0.00103987,0.00103987,0.00103987
21,896.227,0.89862,0.91277,1.13889,0.90183,0.91452,0.96437,0.79446,0.82541,0.96362,1.07727,0.00100687,0.00100687,0.00100687
22,941.698,0.84318,0.85275,1.08214,0.89379,0.88462,0.93538,0.75526,0.84773,1.22917,1.09956,0.000973861,0.000973861,0.000973861
23,989.277,0.84673,0.85533,1.08668,0.91403,0.91633,0.95999,0.78578,0.85185,1.04959,1.09338,0.000940855,0.000940855,0.000940855
24,1035.57,0.84538,0.81996,1.12112,0.9274,0.9386,0.968,0.78791,0.90224,0.98652,1.1177,0.000907848,0.000907848,0.000907848
25,1085.06,0.84442,0.81318,1.10369,0.92845,0.917,0.96153,0.79126,0.87417,1.05148,1.09875,0.000874842,0.000874842,0.000874842
26,1134.58,0.85748,0.80645,1.12354,0.9347,0.93117,0.96865,0.80976,0.79341,1.04855,1.03805,0.000841835,0.000841835,0.000841835
