epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
27,1181.3,0.81758,0.78389,1.06598,0.91231,0.92524,0.96018,0.79041,0.81589,1.04336,1.05255,0.000808828,0.000808828,0.000808828
28,1226.52,0.80429,0.76309,1.07375,0.95203,0.88765,0.98138,0.82711,0.77449,0.88643,1.02894,0.000775822,0.000775822,0.000775822
29,1273.27,0.77521,0.82346,1.06381,0.94228,0.93573,0.98471,0.82643,0.77974,0.82391,1.02969,0.000742815,0.000742815,0.000742815
30,1319.29,0.79946,0.74937,1.08158,0.955,0.98007,0.98661,0.84537,0.74317,0.72911,1.0071,0.000709809,0.000709809,0.000709809
31,1365.63,0.78225,0.7575,1.05933,0.96028,0.96202,0.98827,0.84349,0.74054,0.74647,1.0058,0.000676802,0.000676802,0.000676802
32,1413.6,0.80215,0.74376,1.09917,0.96172,0.97436,0.99097,0.84128,0.72715,0.72578,1.00426,0.000643795,0.000643795,0.000643795
33,1459.69,0.7865,0.72849,1.06267,0.95945,0.98412,0.99063,0.8437,0.74235,0.68038,1.00673,0.000610789,0.000610789,0.000610789
34,1505.6,0.73111,0.67112,1.05823,0.96468,0.98438,0.9911,0.86197,0.69173,0.64966,0.98281,0.000577782,0.000577782,0.000577782
35,1553.79,0.77029,0.67296,1.05818,0.96741,0.98598,0.99156,0.85799,0.69234,0.63473,0.9805,0.000544776,0.000544776,0.000544776
36,1596.53,0.75817,0.66692,1.07063,0.96297,0.9806,0.98874,0.84992,0.68657,0.64446,0.97711,0.000511769,0.000511769,0.000511769
37,1639.72,0.75127,0.69235,1.0622,0.96881,0.98381,0.99101,0.85596,0.67039,0.62507,0.96475,0.000478762,0.000478762,0.000478762
38,1683.03,0.76622,0.65203,1.06422,0.97449,0.99134,0.99333,0.86559,0.65954,0.61122,0.95355,0.000445756,0.000445756,0.000445756
39,1718.75,0.74706,0.65286,1.04572,0.98166,0.99095,0.99423,0.86933,0.64424,0.60113,0.94136,0.000412749,0.000412749,0.000412749
40,1754.4,0.72699,0.60765,1.03376,0.97839,0.98431,0.99329,0.85997,0.66104,0.566,0.95019,0.000379743,0.000379743,0.000379743
41,1790.98,0.66068,0.82069,1.00515,0.98809,0.99704,0.99438,0.86736,0.62613,0.55313,0.92995,0.000346736,0.000346736,0.000346736
42,1827.06,0.62633,0.6982,0.99543,0.97248,0.98455,0.99419,0.87912,0.60596,0.60276,0.91635,0.000313729,0.000313729,0.000313729
43,1862.61,0.63321,0.69585,1.00206,0.96519,0.97118,0.99384,0.88375,0.59143,0.64311,0.9107,0.000280723,0.000280723,0.000280723
44,1898.19,0.61743,0.67018,0.97939,0.98032,0.98785,0.99453,0.88416,0.61556,0.5831,0.9256,0.000247716,0.000247716,0.000247716
45,1936.8,0.60971,0.59669,0.9697,0.98291,0.99273,0.99422,0.88508,0.60251,0.59454,0.92195,0.00021471,0.00021471,0.00021471
46,1981.86,0.61073,0.60332,0.9736,0.97908,0.99446,0.99387,0.88759,0.58873,0.59283,0.91618,0.000181703,0.000181703,0.000181703
47,2026.82,0.58792,0.58788,0.95144,0.98336,0.99165,0.99421,0.88991,0.57085,0.56454,0.90776,0.000148696,0.000148696,0.000148696
48,2069.15,0.58289,0.6014,0.93166,0.98837,0.9919,0.9947,0.90017,0.54959,0.52111,0.89668,0.00011569,0.00011569,0.00011569
49,2109.7,0.57747,0.55913,0.93138,0.98952,0.9919,0.99486,0.90332,0.544,0.50646,0.8928,8.26832e-05,8.26832e-05,8.26832e-05
50,2152.67,0.56718,0.56199,0.94292,0.99201,0.99271,0.9949,0.90426,0.53835,0.50187,0.8892,4.96766e-05,4.96766e-05,4.96766e-05
